a bit	một chút, một tí
surprising	làm ngạc nhiên, làm bất ngờ
surprisingly	làm ngạc nhiên, làm bất ngờ
surround	vây quanh, bao quanh
surrounding	sự vây quanh, sự bao quanh
surroundings	vùng xung quanh, môi trường xung quanh
survey	sự nhìn chung, sự khảo sát; quan sát, nhìn chung, khảo sát, nghiên cứu
survive	sống lâu hơn, tiếp tục sống, sống sót
suspect	nghi ngờ, hoài nghi; người khả nghi, người bị tình nghi
suspicion	sự nghi ngờ, sự ngờ vực
suspicious	có sự nghi ngờ, tỏ ra nghi ngờ, khả nghi
swallow	nuốt, nuốt chửng
swear	chửi rủa, nguyền rủa; thề, hứa
swearing	lời thề, lời nguyền rủa, lời thề hứa
sweat	mồ hôi; đổ mồ hôi
sweater	người ra mồ hôi,, kẻ bóc lột lao động
sweep	quét
sweet	ngọt, có vị ngọt; sự ngọt bùi, đồ ngọt
swell	phồng, sưng lên
swelling	sự sưng lên, sự phồng ra
swim	bơi lội
swimming	sự bơi lội
swimming pool	bể nước
swing	sự đu đưa, lúc lắc; đánh đu, đu đưa, lúc lắc
switch	công tắc, roi; tắt, bật, đánh bằng gậy, roi
switch  off	ngắt điện
switch  on	bật điện
swollen	sưng phồng, phình căng
swollen swell	phồng lên, sưng lên
symbol	biểu tượng, ký hiệu
sympathetic	đồng cảm, đáng mến, dễ thương
sympathy	sự đồng cảm, sự đồng ý
system	hệ thống, chế độ
table	cái bàn
tablet	tấm, bản, thẻ phiến
tackle	giải quyết, khắc phục, bàn thảo; đồ dùng, dụng cụ
tail	đuôi, đoạn cuối
take	sự cầm nắm, sự lấy
take  over	chở, chuyển cái gì; tiếp quản, kế tục cái gì
take advantage of	lợi dụng
take notice of	chú ý
take place	xảy ra, được cử hành, được tổ chức
take sth off	cởi, bỏ cái gì, lấy đi cái gì
talk	nói chuyện, trò chuyện; cuộc trò chuyện, cuộc thảo luận
tall	cao
tank	thùng, két, bể
tap	mở vòi, đóng vồi; vòi, khóa
tape	băng, băng ghi âm; dải, dây
target	bia, mục tiêu, đích
task	nhiệm vụ, nghĩa vụ, bài tập, công tác, công việc
taste	vị, vị giác; nếm
tax	thuế; đánh thuế
taxi	xe tắc xi
tea	cây chè, trà, chè
teach	dạy
teacher	giáo viên
teaching	sự dạy, công việc dạy học
team	đội, nhóm
tear	xé, làm rắch; chỗ rách, miếng xe; nước mắt
technical	kỹ thuật, chuyên môn
technique	kỹ sảo, kỹ thuật, phương pháp kỹ thuật
technology	kỹ thuật học, công nghệ học
telephone	máy điện thoại, gọi điện thoại
television	vô tuyến truyền hình
tell	nói, nói với
temperature	nhiệt độ
temporarily	tạm
temporary	tạm thời, nhất thời
tend	trông nom, chăm sóc, giữ gìn, hầu hạ
tendency	xu hướng, chiều hướng, khuynh hướng
tension	sự căng, độ căng, tình trạng căng
tent	lều, rạp
term	giới hạn, kỳ hạn, khóa, kỳ học
terrible	khủng khiếp, ghê sợ
terribly	tồi tệ, không chịu nổi
test	bài kiểm tra, sự thử nghiệm, xét nghiệm; kiểm tra, xét nghiệm, thử nghiệm
text	nguyên văn, bản văn, chủ đề, đề tì
than	hơn
thank	cám ơn
thank you	cảm ơn bạn
thanks	sự cảm ơn, lời cảm ơn
that	người ấy, đó, vật ấy, đó; rằng, là
the definite article	cái, con, người, ấy này....
the rest	vật, cái còn lại, những người, cái khác
theatre	rạp hát, nhà hát
their	của chúng, của chúng nó, của họ
theirs	của chúng, của chúng nó, của họ
them	chúng, chúng nó, họ
theme	đề tài, chủ đề
themselves	tự chúng, tự họ, tự
then	khi đó, lúc đó, tiếp đó
theory	lý thuyết, học thuyết
there	ở nơi đó, tại nơi đó
therefore	bởi vậy, cho nên, vì thế
they	chúng, chúng nó, họ; những cái ấy
thick	dày; đậm
thickly	dày; dày đặc; thành lớp dày
thickness	tính chất dày, độ dày, bề dày
thief	kẻ trộm, kẻ cắp
thin	mỏng, mảnh
thing	cái, đồ, vật
think	nghĩ, suy nghĩ
thinking	sự suy nghĩ, ý nghĩ
thirsty	khát, cảm thấy khát
this	cái này, điều này, việc này
thorough	cẩn thận, kỹ lưỡng
thoroughly	kỹ lưỡng, thấu đáo, triệt để
though	dù, dù cho, mặc dù; mặc dù, tuy nhiên, tuy vậy
thought	sự suy nghĩ, khả năng suy nghĩ; ý nghĩ, tư tưởng, tư duy
thread	chỉ, sợi chỉ, sợi dây
threat	sự đe dọa, lời đe dọa
threaten	dọa, đe dọa
threatening	sự đe dọa, sự hăm dọa
throat	cổ, cổ họng
through	qua, xuyên qua
throughout	khắp, suốt
throw	ném, vứt, quăng
thumb	ngón tay cái
thursday	thứ 5
thus	như vậy, như thế, do đó
ticket	vé
tidy	sạch sẽ, ngăn nắp, gọn gàng; làm cho sạch sẽ, gọn gàng, ngăn nắp
tie	buộc, cột, trói; dây buộc, daay trói, dây giày
tie sth up	có quan hệ mật thiết, gắn chặt
tight	kín, chặt, chật
tightly	chặc chẽ, sít sao
till until	cho đến khi, tới lúc mà
time	thời gian, thì giờ
timetable	kế hoạch làm việc, thời gian biểu
tin	thiếc
tiny	rất nhỏ, nhỏ xíu
tip	đầu, mút, đỉnh, chóp; bịt đầu, lắp đầu vào
tire	làm mệt mỏi, trở nên mệt nhọc; lốp, vỏ xe
tired	mệt, muốn ngủ, nhàm chán
tiring	sự mệt mỏi, sự mệt nhọc
title	đầu đề, tiêu đề; tước vị, tư cách
to	theo hướng, tới
today	vào ngày này; hôm nay, ngày nay
toe	ngón chân
together	cùng nhau, cùng với
toilet	nhà vệ sinh; sự trang điểm
tomato	cà chua
tomorrow	vào ngày mai; ngày mai
ton	tấn
tone	tiếng, giọng
tongue	lưỡi
tonight	vào đêm nay, vào tối nay; đêm nay, tối nay
tonne	tấn
too	cũng
tool	dụng cụ, đồ dùng
tooth	răng
top	chóp, đỉnh; đứng đầu, trên hết
topic	đề tài, chủ đề
total	tổng cộng, toàn bộ; tổng số, toàn bộ số lượng
totally	hoàn toàn
touch	sờ, mó, tiếp xúc; sự sờ, sự mó, sự tiếp xúc
tough	chắc, bền, dai
tour	cuộc đo du lịch, cuộc đi dạo, chuyến du lịch; đi du lịch
tourist	khách du lịch
towards	theo hướng, về hướng
towel	khăn tắm, khăn lau
tower	tháp
town	thị trấn, thị xã, thành phố nhỏ
toy	đồ chơi, đồ trang trí; thể loại đồ chơi
trace	phát hiện, tìm thấy, vạch, chỉ ra, phác họa; dấu, vết, một chút
track	phần của đĩa; đường mòn, đường đua
trade	thương mại, buôn bán; buôn bán, trao đổi
trading	sự kinh doanh, việc mua bán
tradition	truyền thống
traditional	theo truyền thống, theo lối cổ
traditionally	truyền thống, là truyền thống
traffic	sự đi lại, sự giao thông, sự chuyển động
train	xe lửa, tàu hỏa; dạy, rèn luyện, đào tạo
training	sự dạy dỗ, sự huấn luyện, sự đào tạo
transfer	dời, di chuyển; sự di chuyển, sự dời chỗ
transform	thay đổi, biến đổi
translate	dịch, biên dịch, phiên dịch
translation	sự dịch
transparent	trong suốt; dễ hiểu, sáng sủa
transport	sự vận chuyển, sự vận tải; phương tiện đi lại
trap	đồ đạc, hành lý; bẫy, cạm bãy; bẫy, giữ, chặn lại
travel	đi lại, đi du lịch, di chuyển; sự đi, những chuyến đi
traveller	người đi, lữ khách
treat	đối xử, đối đãi, cư xử
treatment	sự đối xử, sự cư xử
tree	cây
trend	phương hướng, xu hướng, chiều hướng
trial	sự thử nghiệm, cuộc thử nghiệm
triangle	hình tam giác
trick	mưu mẹo, thủ đoạn, trò lừa gatj; lừa, lừa gạt
trip	cuộc dạo chơi, cuộc du ngoạn; đi dạo, du ngoạn
tropical	nhiệt đới
trouble	điều lo lắng, điều muộn phiền
trousers	quần
truck	rau quả tươi
true	đúng, thật
truly	đúng sự thật, đích thực, thực sự
trust	niềm tin, sự phó thác; tin, tin cậy, phó thác
truth	sự thật
try	thử, cố gắng
tube	ống, tuýp
tuesday	thứ 3
tune	điệu, giai điệu; lên dây, so dây
tunnel	đường hầm, hang
turn	quay, xoay, vặn; sự quay, vòng quay
tv television	vô tuyến truyền hình
twice	hai lần
twin	sinh đôi, tạo thành cặp; cặp song sinh
twist	xoắn, cuộn, quắn; sự xoắn, vòng xoắn
twisted	được xoắn, được cuộn
type	loại, kiểu, mẫu; phân loại, xếp loại
typical	tiêu biểu, điển hình, đặc trưng
typically	điển hình, tiêu biểu
tyre	lốp, vỏ xe
ugly	xấu xí, xấu xa
ultimate	cuối cùng, sau cùng
ultimately	cuối cùng, sau cùng
umbrella	ô, dù
unable	không có năng lực, không có tài
unable able	không thể, không có khẳ năng
unacceptable	không thể chấp nhận, không tán thành, không tha thứ; không chịu nổi
unacceptable acceptable	không thể chấp nhận
uncertain	thiếu chính xác, không chắc chắn
uncertain certain	không chắc chắn, khôn biết rõ ràng
uncle	chú, bác
uncomfortable	bất tiện, khó chịu, không thoải mái
uncomfortable comfortable	bất tiện, không tiện lợi
unconscious	bất tỉnh, không có ý thức, không biết rõ
unconscious conscious	bất tỉnh, ngất đi
uncontrolled	không bị điều khiển, không bị kiểm tra, không bị hạn
uncontrolled control	không bị kiềm chế, không bị kiểm tra
under	dưới, ở dưới; ở phía dưới, về phía dưới
underground	dưới mặt đất, ngầm dưới đất; ngầm
underneath	dưới, bên dưới
understand	hiểu, nhận thức
understanding	trí tuệ, sự hiểu biết
underwater	ở dưới mặt nước, dưới mặt nước
underwear	quần lót
undo	tháo, gỡ; xóa bỏ, hủy bỏ
undo do	tháo, gỡ, xóa, hủy bỏ
unemployed	thất nghiệp; không dùng, không sử dụng được
unemployed employ	không dùng, thất nghiệp
unemployment	sự thất nghiệp, nạn thất nghiệp
unemployment employment	sự thất nghiệp, tình trạng thất nghiệp
unexpected	bất ngờ, gây ngạc nhiên
unexpected, unexpectedly	bất ngờ, đột ngột, gây ngạc nhiên
unexpectedly	bất ngờ, gây ngạc nhiên
unfair	gian lận, không công bằng; bất lợi
unfairly	gian lận, không công bằng; bất lợi
forward	ở phía trước, tiến về phía trước
unfortunate	không may, rủi ro, bất hạnh
unfortunately	một cách đáng tiếc, một cách không may
unfriendly	không thân thiện, không có thiện cảm
freeze	sự đông lạnh, sự giá lạnh; làm đông, làm đóng băng
unfair, unfairly fair	không đúng, không công bằng, gian lận
unfriendly friendly	đối địch, không thân thiện
unhappiness	nỗi buồn, sự bất hạnh
unhappiness happiness	sự buồn, nỗi buồn
unhappy	buồn rầu, khốn khổ
uniform	đồng phục; đều, giống nhau, đồng dạng
unimportant	khônh quan trọng, không trọng đại
union	liên hiệp, sự đoàn kết, sự hiệp nhất
unique	độc nhất vô nhị
unit	liên kết, hợp nhất, hợp lại, kết thân
united	liên minh, đoàn kết, chung, thống nhất
universe	vũ trụ
university	trường đại học
unkind	độc ác, tàn nhẫn
kilometre	kilômet
sharp	sắc, nhọn, bén
unknown	không biết
unless	trừ phi, trừ khi, nếu không
unlike	khác, không giống
unlike like	không giống, khác
unlikely	không thể xảy ra, không chắc xảy ra
unlikely likely	không có thể xảy ra, không chắc chắn; không có thực
unload	cất gánh nặng, dỡ hàng
unload load	tháo, dỡ
unlucky	không gặp may, bất hạnh
unlucky lucky	không gặp may, không may mắn
unreasonable	vô lý
unsuccessful	không thành công, thất bại
unusual	hiếm, khác thường, đáng chú ý
unusually	cực kỳ, khác thường
unwilling	không sẵn lòng, miễn cưỡng
unwilling, unwillingly willing	không muốn, không có ý định
unwillingly	không sẵn lòng, miễn cưỡng
up	ở trên, lên trên, lên
upon	trên, ở trên
upper	cao hơn
upset	làm đổ, đánh đổ
upsetting	tính đánh đổ, làm đổ
upside down	lộn ngược
upstairs	ở tên gác, cư ngụ ở tầng gác; tầng trên, gác
upward	lên, hướng lên, đi lên
urban	thành phố, khu vực
urge	thúc, giục, giục giã; sự thúc đẩy, sự thôi thúc
urgent	gấp, khẩn cấp
us	chúng tôi, chúng ta; tôi và anh
use	sử dụng, dùng; sự dùng, sự sử dụng
used	đã dùng, đã sử dụng
used to modal	đã quen dùng
used to sth/to doing sth	sử dụng cái gì, sử dụng để làm cái gì
useful	hữu ích, giúp ích
useless	vô ích, vô dụng
user	người dùng, người sử dụng
usual	thông thường, thường dùng
usually	thường thường
vacation	kỳ nghỉ hè, kỳ nghỉ lễ; ngày nghỉ, ngày lễ
valid	chắc chắn, hiệu quả, hợp lý
valley	thung lũng
valuable	có giá trị lớn, đáng giá
value	giá trị, ước tính, định giá
van	tiền đội, quân tiên phong; xe tải
variation	sự biến đổi, sự thay đổi mức độ, sự khác nhau
varied	thuộc nhiều loại khác nhau, những vẻ đa dạng
variety	sự đa dạng, trạng thái khác nhau
various	khác nhau, thuộc về nhiều loại
vary	thay đổi, làm cho khác nhau, biến đổi
vast	rộng lớn, mênh mông
vegetable	rau, thực vật
vehicle	xe cộ
venture	sự án kinh doanh, công việc kinh doanh; liều, mạo hiểm, cả gan
version	bản dịch sang một ngôn ngữ khác
vertical	thẳng đứng, đứng
very	rất, lắm
via	qua, theo đường
victim	nạn nhân
victory	chiến thắng
video	video
view	sự nhìn, tầm nhìn; nhìn thấy, xem, quan sát
village	làng, xã
violence	sự ác liệt, sự dữ dội; bạo lực
violent	mãnh liệt, mạnh mẽ, hung dữ
violently	mãnh liệt, dữ dội
virtually	thực sự, hầu như, gần như
virus	vi rút
visible	hữu hình, thấy được
vision	sự nhìn, thị lực
visit	đi thăm hỏi, đến chơi, tham quan; sự đi thăm, sự thăm viếng
visitor	khách, du khách
vital	sự sống, cần cho sự sống
vocabulary	từ vựng
voice	tiếng, giọng nói
volume	thế tích, quyển, tập
vote	sự bỏ phiếu, sự bầu cử; bỏ phiếu, bầu cử
wage	tiền lương, tiền công
waist	eo, chỗ thắt lưng
wait	chờ đợi
waiter, waitress	người hầu bàn, người đợi, người trông chờ
wake	thức dậy, tỉnh thức
walk	đi, đi bộ; sự đi bộ, sự đi dạo
walking	sự đi, sự đi bộ
wall	tường, vách
wallet	cái ví
wander	đi lang thang; sự đi lang thang
want	muốn
war	chiến tranh
warm	ấm, ấm áp; làm cho nóng, hâm nóng
warmth	trạng thái ấm, sự ấm áp; hơi ấm
warn	báo cho biết, cảnh báo
warning	sự báo trước, lời cảnh báo
wash	rửa, giặt
washing	sự tắm rửa, sự giặt
waste	lãng phí, uổng phí; vùng hoang vu, sa mạc; bỏ hoang
watch	nhìn, theo dõi, quan sát; sự canh gác, sự canh phòng
water	nước
wave	sóng, gợn nước; gợn sóng, uốn thành sóng
way	đường, đường đi
we	chúng tôi, chúng ta
weak	yếu, yếu ớt
weakness	tình trạng yếu đuối, yếu ớt
wealth	sự giàu có, sự giàu sang
weapon	vũ khí
wear	mặc, mang, đeo
weather	thời tiết
web	mạng, lưới
wedding	lễ cưới, hôn lễ
week	tuần, tuần lễ
weekend	cuối tuần
weekly	mỗi tuần một lần, hàng tuần
weigh	cân, cân nặng
weight	trọng lượng
welcome	chào mừng, hoan nghênh
well	tốt, giỏi; ôi, may quá!
well known	nổi tiếng, được nhiều người biết đến
live	sống
march	diễu hành, hành quân; cuộc hành quân, cuộc diễu hành
miss	cô gái, thiếu nữ
mum	mẹ
unnecessary	không cần thiết, không mong muốn
each other	nhau, lẫn nhau
penny	số tiền
unhappy happy	buồn rầu, khổ sở
unimportant important	không quan trọng
unkind kind	không tử tế, không tốt
unknown know	không biết, không được nhận ra
unnecessary necessary	không cần thiết, không mong muốn
unpleasant	không dễ chịu, khó chịu, khó ưa
pint	panh
unpleasant pleasant	không dễ chịu, khó chịu
unreasonable reasonable	vô lý, vượt quá giới hạn của cái hợp lý
unsteady	không chắc, không ổn định
unsteady steady	không đúng mực, không vững, không chắc
unsuccessful successful	không thành công, không thành đạt
untidy	không gọn gàng, không ngăn nắp, lộn xộn
untidy tidy	không gọn gàng, không ngăn nắp, lộn xộn
until	trước khi, cho đến khi
unusual, unusually usual	hiếm, khác thường
wednesday	thứ 4
west	phía tây, theo phía tây, về hướng tây
western	về phía tây, của phía tây
wet	ướt, ẩm ướt
what	gì, thế nào
whatever	bất cứ thứ gì, bất kể thứ gì
wheel	bánh xe
when	khi, lúc, vào lúc nào
whenever	bất cứ lúc nào, lúc nào
where	đâu, ở đâu; nơi mà
whereas	nhưng ngược lại, trong khi
wherever	ở bất cứ nơi nào, ở bất cứ nơi đâu
whether	có..không; có... chăng; không biết có.. không
which	nào, bất cứ.. nào; ấy, đó
while	trong lúc, trong khi; lúc, chốc, lát
whilst	trong lúc, trong khi
whisper	nói thì thầm, xì xào; tiếng nói thì thầm, tiếng xì xào
whistle	sự huýt sáo, sự thổi còi; huýt sáo, thổi còi
white	trắng; màu trắng
who	ai, người nào, kẻ nào, người như thế nàow
whole	bình an vô sự, không suy suyển, không hư hỏng; toàn bộ, tất cả, toàn thể
whom	ai, người nào; người mà
whose	của ai
why	tại sao, vì sao
wide	rộng, rộng lớn
widely	nhiều, xa; rộng rãi
width	tính chất rộng, bề rộng
wife	vợ
wild	dại, hoang
wildly	dại, hoang
will modal	sẽ; ý chí, ý định
willing	bằng lòng, vui lòng, muốn
willingly	sẵn lòng, tự nguyện
willingness	sự bằng lòng, sự vui lòng
win	chiếm, đọat, thu được
wind	quấn lại, cuộn lại
wind sth up	lên dây, quấn, giải quyết
window	cửa sổ
wine	rượu, đồ uống
wing	cánh, sự bay, sự cất cánh
winner	người thắng cuộc
winning	đang dành thắng lợi, thắng cuộc
wire	dây
wise	khôn ngoan, sáng suốt, thông thái
wish	ước, mong muốn; sự mong ước, lòng mong muốn
with	với, cùng
withdraw	rút, rút khỏi, rút lui
within	trong vong thời gian, trong khoảng thời gian
without	không, không có
witness	sự làm chứng, bằng chứng; chứng kiến, làm chứng
woman	đàn bà, phụ nữ
wonder	ngạc nhiên, lấy làm lạ, kinh ngạc
wonderful	phi thường, khác thường, kỳ diệu, tuyệt vời
wood	gỗ
wooden	làm bằng gỗ
wool	len
word	từ
work	làm việc, sự làm việc
worker	người lao động
working	sự làm, sự làm việc
world	thế giới
worried	bồn chồn, lo nghĩ, tỏ ra lo lắng
worry	lo lắng, suy nghĩ; sự lo lắng, suy nghĩ
worrying	gấy lo lắng, gây lo nghĩ
worship	sự tôn thờ, sự tôn sùng; thờ, thờ phụng, tôn thờ
worth	đáng giá, có giá trị
wound	vết thương, thương tích; làm bị thường, gây thương tích
wounded	bị thương
wrap	gói, bọc, quấn
wrapping	vật bao bọc, vật quấn quanh
wrist	cổ tay
write	viết
writer	người viết
writing	sự viết
written	viết ra, được thảo ra
wrong	sai
wrongly	một cách bất công, không đúng
yard	lat, thước anh
yawn	há miệng; cử chỉ ngáp
yeah exclamation	vâng, ừ
year	năm
yellow	vàng; màu vàng
yes	vâng, phải, có chứ
yesterday	hôm qua
yet	còn, hãy cỏn, còn nữa; như mà, xong, tuy thế, tuy nhiên
you	bạn
young	trẻ, trẻ tuổi, thanh niên
your	của bạn
yours	cái của bạn
yours sincerely	bạn chân thành của anh, chị..
transport	chuyên chở, vận tải
wind	gió
winter	mùa đông
yourself	tự anh, tự chị, chính anh, chính mày, tự mày, tự mình
youth	tuổi trẻ, tuổi xuân, tuổi thanh niên, tuổi niên thiếu
zero number	số không
zone	khu vực, miền, vùng
method	phương pháp
rotate	Quay
sign	ký tên
somebody	có ai
magazine	tạp chí
hotel	khách sạn
soldier	lính
reflect	phản chiếu
heavy	nặng
sexual	tình dục
cause	nguyên nhân
bag	túi
heat	nhiệt
fall	ngã
marriage	kết hôn
tough	khó khăn
sing	hát
surface	bề mặt
purpose	mục đích
exist	hiện hữu
pattern	mẫu
whom	ai
skin	da
agent	đặc vụ
owner	chủ nhân
machine	máy móc
gas	khí đốt
down	xuống
ahead	phía trước
generation	thế hệ
commercial	thương mại
address	địa chỉ nhà
cancer	ung thư
test	thử nghiệm
item	mục
reality	thực tế
coach	huấn luyện viên
step	bậc thang
Mrs	Bà
yard	sân
beat	tiết tấu
hash	băm
violence	bạo lực
total	toàn bộ
tend	có xu hướng
investment	đầu tư
discussion	thảo luận
finger	ngón tay
garden	vườn
notice	để ý
collection	bộ sưu tập
modern	hiện đại
task	bài tập
partner	cộng sự
positive	tích cực
civil	dân sự
kitchen	phòng bếp
consumer	khách hàng
shot	bắn
budget	ngân sách
wish	muốn
painting	bức vẽ
scientist	nhà khoa học
safe	an toàn
agreement	thỏa thuận
capital	thủ đô
mouth	miệng
nor	cũng không
victim	nạn nhân
newspaper	báo chí
instead	thay thế
threat	mối đe dọa
responsibility	trách nhiệm
smile	nụ cười
attorney	luật sư
score	ghi bàn
account	tài khoản
interesting	hấp dẫn
break	phá vỡ
audience	thính giả
rich	giàu có
dinner	bữa tối
figure	nhân vật
vote	bỏ phiếu
western	miền Tây
relate	liên hệ
travel	du lịch
debate	tranh luận
prevent	ngăn chặn
citizen	công dân
majority	đa số
none	không ai
front	trước mặt
born	sinh ra
admit	thừa nhận
senior	cao cấp
assume	giả định
wind	gió
key	Chìa khóa
professional	chuyên nghiệp
mission	sứ mệnh
fast	Nhanh
alone	một mình
customer	khách hàng
suffer	đau khổ
speech	phát biểu
successful	thành công
option	Tùy chọn
participant	người tham gia
southern	phía Nam
fresh	tươi
eventually	cuối cùng
no	Không
forest	rừng
video	video
global	toàn cầu
Senate	Thượng nghị viện
reform	cải cách
access	truy cập
restaurant	nhà hàng
judge	thẩm phán
publish	công bố
cost	Giá cả
relation	quan hệ
like	như
release	giải phóng
own	sở hữu
bird	chim
opinion	quan điểm
credit	tín dụng
critical	chỉ trích
corner	góc
concerned	liên quan
recall	hồi tưởng
version	phiên bản
stare	nhìn chằm chằm
safety	an toàn
effective	có hiệu lực
neighborhood	khu vực lân cận
original	nguyên
act	hành động
troop (PL)	quân (PL)
income	thu nhập
directly	trực tiếp
hurt	đau
species	loài
immediately	ngay
track	theo dõi
basic	căn bản
strike	đình công
hope	mong
sky	bầu trời
freedom	sự tự do
absolutely	chắc chắn rồi
plane	máy bay
nobody	không ai
achieve	Hoàn thành
object	vật
attitude	Thái độ
labor	lao động
refer	tham khảo
concept	khái niệm
client	khách hàng
powerful	quyền lực
perfect	hoàn hảo
nine	chín
therefore	vì thế
conduct	hạnh kiểm
announce	tuyên bố
conversation	cuộc hội thoại
examine	xem xét
touch	chạm
please	xin vui lòng
attend	tham gia
completely	hoàn toàn
vote	bỏ phiếu
variety	đa dạng
sleep	ngủ
turn	xoay
involved	có tính liên quan
investigation	cuộc điều tra
nuclear	Nguyên tử
researcher	nghiên cứu viên
press	nhấn
conflict	cuộc xung đột
spirit	tinh thần
experience	kinh nghiệm
replace	thay thế
British	người Anh
encourage	khuyến khích
argument	tranh luận
by	bởi
once	Một lần
camp	trại
brain	óc
feature	đặc tính
afternoon	buổi chiều
AM	LÀ
weekend	ngày cuối tuần
dozen	tá
possibility	khả năng
along	dọc theo
insurance	bảo hiểm
department	bộ phận
battle	chiến đấu
beginning	bắt đầu
date	ngày
generally	nói chung là
African	Châu Phi
very	rất
sorry	lấy làm tiếc
crisis	khủng hoảng
complete	hoàn thành
fan	quạt
stick	gậy
define	định nghĩa
easily	dễ dàng
through	xuyên qua
hole	lỗ
element	thành phần
vision	tầm nhìn
status	trạng thái
normal	bình thường
Chinese	Trung Quốc
ship	tàu
solution	dung dịch
stone	Cục đá
slowly	chậm rãi
scale	tỉ lệ
bit	bit
university	trường đại học
introduce	giới thiệu
driver	người lái xe
attempt	cố gắng
park	công viên
spot	nơi
lack	thiếu sót
ice	Nước đá
boat	thuyền
drink	uống
sun	mặt trời
front	trước mặt
distance	khoảng cách
wood	gỗ
handle	xử lý
truck	xe tải
return	trở về
mountain	núi
survey	khảo sát
supposed	giả định
tradition	truyền thống
winter	mùa đông
village	làng
Soviet	Liên Xô
refuse	từ chối
sales	bán hàng
roll	cuộn
communication	giao tiếp
run	chạy
screen	màn
gain	thu được
resident	cư dân
hide	ẩn giấu
gold	vàng
club	câu lạc bộ
future	Tương lai
farm	nông trại
potential	tiềm năng
increase	tăng
middle	ở giữa
European	Châu Âu
presence	sự hiện diện
independent	độc lập
district	huyện
shape	hình dạng
reader	người đọc
Ms	Cô
contract	hợp đồng
crowd	đám đông
Christian	Christian
express	bày tỏ
apartment	căn hộ, chung cư
willing	sẵn lòng
strength	sức mạnh
previous	Trước
band	ban nhạc
obviously	chắc chắn
horse	con ngựa
interested	quan tâm
target	Mục tiêu
prison	nhà tù
ride	dap xe
guard	bảo vệ
terms	điều kiện
demand	nhu cầu
reporter	phóng viên
deliver	giao hàng
text	bản văn
share	chia sẻ
tool	dụng cụ
wild	hoang dã
vehicle	phương tiện
observe	quan sát
flight	chuyến bay
inside	phía trong
facility	cơ sở
understanding	hiểu biết
average	Trung bình cộng
emerge	hiện ra
advantage	lợi thế
quick	nhanh chóng
light	ánh sáng
leadership	khả năng lãnh đạo
earn	kiếm
pound	pao
basis	nền tảng
bright	sáng
operate	vận hành
guest	khách
sample	mẫu vật
contribute	Góp phần
tiny	nhỏ bé
block	khối
protection	sự bảo vệ
settle	ổn định
feed	nuôi
collect	sưu tầm
additional	bổ sung
while	trong khi
highly	cao
identity	danh tính
title	chức vụ
mostly	chủ yếu
lesson	bài học
faith	đức tin
river	con sông
promote	Quảng bá
living	sống
present	hiện tại
count	đếm
unless	trừ khi
marry	kết hôn
tomorrow	Ngày mai
technique	kỹ thuật
path	con đường
ear	tai
shop	cửa tiệm
folk	dân gian
order	gọi món
principle	nguyên tắc
survive	tồn tại
lift	thang máy
border	biên giới
competition	cuộc thi
jump	nhảy
gather	tụ họp
limit	giới hạn
fit	Phù hợp
claim	yêu cầu
cry	khóc
equipment	Trang thiết bị
worth	giá trị
associate	liên kết
critic	nhà phê bình
warm	ấm áp
aspect	khía cạnh
result	kết quả
insist	năn nỉ
failure	thất bại
annual	hàng năm
French	người Pháp
Christmas	Giáng Sinh
comment	bình luận
responsible	chịu trách nhiệm
affair	chuyện
approach	tiếp cận
until	cho đến
procedure	thủ tục
regular	đều đặn
spread	Lan tràn
chairman	Chủ tịch
baseball	bóng chày
soft	mềm mại
ignore	bỏ qua
egg	trứng
measure	đo
belief	niềm tin
demonstrate	chứng minh
anybody	bất kỳ ai
murder	giết người
gift	quà tặng
religion	tôn giáo
review	ôn tập
editor	người biên tập
past	quá khứ
engage	thuê
coffee	cà phê
document	tài liệu
speed	tốc độ
cross	vượt qua
influence	ảnh hưởng
anyway	dù sao
threaten	hăm dọa
commit	cam kết
female	giống cái
youth	thiếu niên
wave	làn sóng
move	di chuyển
afraid	sợ
quarter	phần tư
background	lý lịch
native	tự nhiên
broad	rộng lớn
wonderful	Tuyệt vời
deny	phủ nhận
apparently	dường như
slightly	khinh bỉ
reaction	phản ứng
twice	hai lần
suit	bộ đồ
perspective	quan điểm
growing	phát triển
blow	thổi
construction	xây dựng
kind	loại
intelligence	Sự thông minh
destroy	hủy hoại
cook	nấu ăn
connection	kết nối
charge	sạc điện
burn	đốt cháy
shoe	giày
view	lượt xem
grade	cấp
context	bối cảnh
committee	ủy ban
hey	Chào
mistake	sai lầm
focus	tiêu điểm
smile	nụ cười
location	vị trí
clothes	quần áo
Indian	người Ấn Độ
quiet	Yên tĩnh
dress	trang phục
promise	lời hứa
aware	ý thức
neighbor	hàng xóm
complete	hoàn thành
drive	lái xe
function	chức năng
bone	khúc xương
active	đang hoạt động
extend	mở rộng
chief	giám đốc
average	Trung bình cộng
combine	phối hợp
wine	rượu nho
below	phía dưới
cool	mát mẻ
voter	cử tri
means (PL)	nghĩa là (PL)
demand	nhu cầu
learning	học tập
bus	xe buýt
hell	Địa ngục
dangerous	nguy hiểm
remind	nhắc lại
moral	đạo đức
United	United
category	thể loại
relatively	tương đối
victory	chiến thắng
key	Chìa khóa
academic	học tập
visit	chuyến thăm
Internet	Internet
healthy	khỏe mạnh
fire	ngọn lửa
negative	tiêu cực
following	tiếp theo
